condition,pathogenic_variant_count
NLRP1-related disorder,4
"Muscular dystrophy, congenital hearing loss, and ovarian insufficiency syndrome",4
Immunodeficiency 80 with or without congenital cardiomyopathy,4
NDE1-related disorder,4
GPD1-related disorder,4
SPARC-related disorder,4
Monogenic short stature,4
Dentinogenesis imperfecta type 3,4
Amelogenesis imperfecta hypomaturation type 2A5,4
Progressive encephalopathy,4
SLC25A19-related disorder,4
Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies,4
"OCULOECTODERMAL SYNDROME, SOMATIC",4
Myelodysplastic syndrome progressed to acute myeloid leukemia,4
FTL-related disorder,4
BRIP1-associated familial cancer predisposition,4
Combined oxidative phosphorylation deficiency 56,4
"Diaphragmatic hernia 4, with cardiovascular defects",4
Vascular Tumors Including Pyogenic Granuloma,4
MYL2-related disorder,4
intellectual disability with severe speech impairment,4
HCN1-related disorder,4
"Nephrotic syndrome, type 18",4
Brachydactyly type A1D,4
MATR3-related disorder,4
Oculomotor apraxia,4
Hypokalemic periodic paralysis,4
"Symphalangism, proximal, 1B",4
Diabetes-deafness syndrome maternally transmitted,4
Pes planus,4
CBLIF-related disorder,4
Aggressive behavior,4
CRB1-related maculopathy,4
MAX-related disorder,4
CHMP2B-related disorder,4
Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities,4
COQ8B-related disorder,4
Abdominal obesity-metabolic syndrome 3,4
Respiratory insufficiency,4
SLC39A13-related disorder,4
Autosomal dominant SCN8A-related disorders,4
CHRNG-associated hypo-akinesia disorder of prenatal onset,4
"Mitochondrial complex I deficiency, nuclear type 32",4
Skin rash,4
MFRP-related disorder,4
MERRF/MELAS overlap syndrome,4
"Rett syndrome, zappella variant",4
Coats plus syndrome,4
Afibrinogenemia,4
Adermatoglyphia,4
MED17-related disorder,4
Zaki syndrome,4
Joubert syndrome with Jeune asphyxiating thoracic dystrophy,4
Retinitis pigmentosa 79,4
"Charcot-Marie-Tooth Disease, axonal, type 2GG",4
INTELLECTUAL DEVELOPMENTAL DISORDER WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES,4
"Monocarboxylate transporter 1 deficiency, autosomal dominant",4
"Small cell carcinoma of the ovary, hypercalcemic type",4
POLYCYSTIC KIDNEY DISEASE 3 WITH POLYCYSTIC LIVER DISEASE,4
"Trichoepithelioma, multiple familial, 1",4
"Mandibuloacral dysplasia with type A lipodystrophy, atypical",4
Corticosteroid-binding globulin deficiency,4
"IgE responsiveness, atopic",4
CYP4F22-related disorder,4
Spermatogenic failure 24,4
Ectodermal dysplasia WNT10A related,4
CHMP1A-related disorder,4
REN-related disorder,4
Myofibrillar myopathy 11,4
Armfield syndrome,4
DARS1-related disorder,4
"Tay-Sachs disease, B1 variant",4
Early-onset retinal dystrophy,4
"Developmental and epileptic encephalopathy, 82",4
Developmental and epileptic encephalopathy 109,4
Autosomal dominant NF1-related disorders,4
Left ventricular noncompaction 5,4
Epidermolysis bullosa simplex with mottled pigmentation,4
Episodic flaccid weakness,4
Inherited oocyte maturation defect,4
Mandibular prognathia,4
"Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities",4
"DIARRHEA 2, WITH MICROVILLUS ATROPHY AND CHOLESTASIS",4
ZNF407-related disorder,4
HERC2-related disorder,4
Dysgenesis of the cerebellar vermis,4
Retinitis pigmentosa 68,4
Congenital myopathy 20,4
Wolf-Hirschhorn like syndrome,4
Skin fragility with non-scarring blistering,4
X-linked parkinsonism-spasticity syndrome,4
"Febrile seizures, familial, 1",4
"Mucopolysaccharidosis, type vi, severe",4
TOPORS-related disorder,4
NHERF1-related disorder,4
Ichthyosis hystrix of Curth-Macklin,4
"Epidermolysis bullosa dystrophica, autosomal recessive, localisata variant",4
Congenital dyserythropoietic anemia type type 1B,4
ALDOA-related disorder,4
Short stature due to growth hormone qualitative anomaly,4
Paget disease of bone 6,4
WDR73-related disorder,4
Neurodevelopmental disorder with seizures and brain atrophy,4
Spinocerebellar ataxia type 1,4
"Myopathy, distal, with rimmed vacuoles",4
Exercise-induced myalgia,4
Keratoacanthoma,4
MMADHC-related disorder,4
AARS1-related disorder,4
"Inherited bleeding disorder, platelet-type",4
Estrogen resistance syndrome,4
DRC1-related disorder,4
Moyamoya angiopathy,4
Immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia,4
"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",4
Myoclonus,4
Paroxysmal atrial fibrillation,4
HLCS-related disorder,4
BBS10-related ciliopathy,4
Spermatogenesis maturation arrest,4
"Portal hypertension, noncirrhotic, 2",4
"Ectodermal dysplasia 10a, hypohidrotic/hair/tooth type, autosomal dominant",4
Progressive retinal dystrophy due to retinol transport defect,4
"Thanatophoric dysplasia, type 2",4
Dilated cardiomyopathy 2B,4
GBA2-related disorder,4
Epidermolysis bullosa simplex with migratory circinate erythema,4
Immunodeficiency 96,4
Vertebral anomalies and variable endocrine and T-cell dysfunction,4
"Craniosynostosis, nonspecific",4
TSFM-related disorder,4
ARHGEF18-related disorder,4
"Luteinizing hormone resistance, female",4
Spastic diplegia,4
ZAP70-related disorder,4
Bilateral microtia-deafness-cleft palate syndrome,4
HMGCS2-related disorder,4
"Hutchinson-Gilford progeria syndrome, atypical",4
AFG3L2-related disorder,4
Motor axonal neuropathy,4
Combined oxidative phosphorylation deficiency 59,4
"Hydatidiform mole, recurrent, 2",4
Meier-Gorlin syndrome 6,4
SPINK5-related disorder,4
"Diabetes mellitus type 2, susceptibility to",4
Neurodevelopmental disorder with epilepsy and hemochromatosis,4
"3-methylglutaconic aciduria, type VIIA",4
ZNF423-related disorder,4
Moyamoya angiopathy with developmental delay,4
Profound intellectual disability,4
"Epidermolysis bullosa pruriginosa, autosomal dominant",4
Hereditary arterial and articular multiple calcification syndrome,4
Hereditary episodic ataxia,4
CFAP410-related disorder,4
Diamond-Blackfan anemia 15 with mandibulofacial dysostosis,4
Familial atrioventricular septal defect,4
"Tibia, hypoplasia or aplasia of, with polydactyly",4
GJB6-related disorder,4
Neurodevelopmental disorder with microcephaly and structural brain anomalies,4
Retinal dystrophy and microvillus inclusion disease,4
"Robinow syndrome, autosomal recessive 2",4
DNMT1-related disorder,4
Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,4
COASY-related disorder,4
Persistent truncus arteriosus,4
"Persistent mullerian duct syndrome, type II",4
"ECTODERMAL DYSPLASIA AND IMMUNODEFICIENCY 1, MALE-RESTRICTED",4
RASA2-related disorder,4
"Intellectual disability, autosomal dominant",4
APTX-related disorder,4
Capillary infantile hemangioma,4
EMG abnormality,4
"Congenital Muscular Dystrophy, LAMA2-related",4
Prieto syndrome,4
Sialidosis type 1,4
Hemimegalencephaly,4
IL10RB-related disorder,4
Autosomal recessive CC2D2A-related disorders,4
POLG2-related disorder,4
FGFR3-related chondrodysplasia,4
ACTG2-related disorder,4
Paternal uniparental disomy of chromosome 14,4
POMGNT2-related disorder,4
Brain small vessel disease 3,4
"Glaucoma, normal tension, susceptibility to",4
Split-foot malformation-mesoaxial polydactyly syndrome,4
Malignant neoplastic disease,4
RDX-related disorder,4
"Amelogenesis imperfecta, hypomaturation type, IIa6",4
Endocardial fibroelastosis,4
Retinitis pigmentosa 64,4
"Polyposis syndrome, hereditary mixed, 1",4
PNPO-related disorder,4
GRIP1-related disorder,4
Hypertrophic cardiomyopathy 16,4
"Ehlers-Danlos syndrome, type 3",4
Oculopharyngeal muscular dystrophy,4
Dowling-Degos disease 4,4
"Striatal degeneration, autosomal dominant 2",4
AKT2-related disorder,4
Thickened nuchal skin fold,4
Cholestatic liver disease,4
"Persistent mullerian duct syndrome, type I",4
Ulnar deviation of the wrist,4
KRT1-related disorder,4
DDR2-related disorder,4
DIAPH3-related disorder,4
Retinitis pigmentosa 30,4
Bone marrow hypocellularity,4
PDHX-related disorder,4
"Dermatitis, atopic, 2, susceptibility to",4
CA4-related disorder,4
2-hydroxyglutaric aciduria,4
Cold-induced sweating syndrome 2,4
"Cardiomyopathy, familial hypertrophic, 23, with or without ventricular noncompaction",4
WLS syndrome,4
Hypomyelinating leukodystrophy 12,4
ODAD2-related disorder,4
Multiple joint contractures,4
Optic atrophy 13 with retinal and foveal abnormalities,4
COQ6-related disorder,4
Renal insufficiency,4
Triphalangeal thumb-polysyndactyly syndrome,4
Laurin-Sandrow syndrome,4
North Carolina macular dystrophy,4
Dyskinesia,4
Moyamoya disease 1,4
Ascending tubular aorta aneurysm,4
PRPF3-related disorder,4
"Intellectual disability, X-linked, with panhypopituitarism",4
AUH-related disorder,4
Long QT syndrome 16,4
Hepatoerythropoietic porphyria,4
Hypoglycemia,4
STT3B-congenital disorder of glycosylation,4
CSF2RA-related disorder,4
"Metaphyseal anadysplasia 1, autosomal dominant",4
Thyroid hormone resistance syndrome,4
TMPO-related disorder,4
"Malaria, resistance to",4
"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with fractures",4
Autosomal recessive DYSF-related disorders,4
"Global developmental delay with dysmorphic features, liver dysfunction, pruritus, and woolly hair",4
APC-mutation negative familial colorectal cancer,4
"CEREBRAL AMYLOID ANGIOPATHY, PRNP-RELATED",4
Colitis,4
Limb-girdle muscle weakness,4
GAN-related disorder,4
"Inflammatory bowel disease, immunodeficiency, and encephalopathy",4
Prolonged prothrombin time,4
Retinal pigment epithelial atrophy,4
Premature ovarian failure 1,4
LDLRAP1-related disorder,4
RFT1-related disorder,4
ACTL6B-related BAFopathy,4
Hypogonadism with anosmia,4
Extraoral halitosis due to methanethiol oxidase deficiency,4
FOLR1-related disorder,4
Primary amenorrhea,4
Sparse hair,4
Retinitis pigmentosa 96,4
Deuteranomaly,4
Left ventricular noncompaction 9,4
Spinocerebellar ataxia type 10,4
NDRG1-related disorder,4
LMOD3-related disorder,4
Pancreatic cysts,4
SEC24D-related disorder,4
Chromosome 2q37 deletion syndrome,4
COLQ-related disorder,4
"Pituitary adenoma 3, multiple types",4
"Developmental delay with short stature, dysmorphic facial features, and sparse hair",4
Oocyte maturation defect 3,4
"Short stature and advanced bone age, with early-onset osteoarthritis",4
Down syndrome,4
TNFRSF11A-related disorder,4
Orofaciodigital syndrome 16,4
CTNNA3-related disorder,4
"Obesity, autosomal dominant",4
Inherited bone marrow failure syndrome,4
Congenital contracture,4
AAAS-related disorder,4
Dowling-Degos disease 1,4
Mitral valve prolapse,4
Spondyloepimetaphyseal dysplasia,4
Frontonasal dysplasia with alopecia and genital anomaly,4
FBP1-related disorder,4
TRIT1 Deficiency,4
"Neurodevelopmental disorder with microcephaly, movement abnormalities, and seizures",4
"Pancreatitis, chronic, susceptibility to",4
"Galloway-Mowat syndrome 2, X-linked",4
GDF6-related disorder,4
"Glaucoma 1, open angle, H",4
Congenital disorders of glycosylation type II,4
Uruguay Faciocardiomusculoskeletal syndrome,4
"Mitochondrial complex I deficiency, nuclear type 25",4
SLC35C1-related disorder,4
Coats disease,4
CNTN2-related disorder,4
Glioblastoma,4
Immunodeficiency 102,4
Proliferative vitreoretinopathy,4
KRT9-related disorder,4
Intractable seizure,4
Nongoitrous Euthyroid Hyperthyrotropinemia,4
MTRR-related disorder,4
NMNAT1-related disorder,4
Stage 5 chronic kidney disease,4
GJB1-related disorder,4
Congenital bile acid synthesis defect 4,4
MAP2K2-related disorder,4
CNOT9-associated neurodevelopmental disorder,4
Robinow-Sorauf syndrome,4
Dermatopathia pigmentosa reticularis,4
Desmoid tumor,4
Isolated Pierre-Robin syndrome,4
Renal hypoplasia,4
Medulloblastoma non-WNT/non-SHH,4
Xeroderma pigmentosum group G/Cockayne syndrome,4
SMARCC2-related BAFopathy,4
TGM5-related disorder,4
Fibrochondrogenesis,4
Combined oxidative phosphorylation deficiency 48,4
Lower limb amyotrophy,4
Methylmalonic aciduria,4
TUBA1A-associated tubulinopathy,4
"Muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type B, 5",4
APP-related disorder,4
Medulloblastoma non-WNT/non-SHH group 4,4
Cystic renal dysplasia,4
"Neurodegeneration, childhood-onset, with ataxia, tremor, optic atrophy, and cognitive decline",4
SMARCB1-related BAFopathy,4
"Surfactant metabolism dysfunction, pulmonary, 5",4
"Glutaric acidemia iic, late-onset",4
SCN2A-related generalized epilepsy with febrile seizures plus,4
BLK-related disorder,4
Cavernous hemangioma,4
INTS1-related disorder,4
PRPF8-related disorder,4
ARG1-related disorder,4
Subcortical band heterotopia,4
MAGI2-related disorder,4
Exudative vitreoretinopathy 6,4
"Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8",4
Progeroid mandibuloacral dysplasia,4
SGCE-related disorder,4
"Leukemia, Philadelphia chromosome-positive, resistant to imatinib",4
GSDME-related disorder,4
"Arthrogryposis, distal, type 1C",4
Hand tremor,4
ANXA11-related disorder,4
Epithelial-stromal TGFBI dystrophy,4
Carney complex,4
Galloway-Mowat syndrome 10,4
MCM4-related disorder,4
CSNK2A1-related disorder,4
"Myopathy, distal, 7, adult-onset, X-linked",4
DARS2-related disorder,4
C9-related disorder,4
Adenoid cystic carcinoma,4
Chronic pancreatitis,4
"Immunodeficiency 83, susceptibility to viral infections",4
"Spermatogenic failure, X-linked, 4",4
Narrow chest,4
Platelet-type bleeding disorder 17,4
Hereditary site-specific ovarian cancer syndrome,4
"Periventricular nodular heterotopia with syndactyly, cleft palate and developmental delay",4
Spondylo-megaepiphyseal-metaphyseal dysplasia,4
TK2-related disorder,4
CYBA-related disorder,4
DLL3-related disorder,4
Cirrhosis of liver,4
Micropenis,4
ALG13-related disorder,4
DPAGT1-related disorder,4
Short stature and advanced bone age,4
Abnormal blistering of the skin,4
Decreased total neutrophil count,4
Jeffries-Lakhani neurodevelopmental syndrome,4
JAK3-related disorder,4
Combined immunodeficiency due to moesin deficiency,4
ARYLSULFATASE A PSEUDODEFICIENCY,4
"BARDET-BIEDL SYNDROME 2/6, DIGENIC",4
"46,XY partial gonadal dysgenesis",4
Premature ovarian failure 4,4
PIK3R2-related disorder,4
LHFPL5-related disorder,4
DNAJB6-related disorder,4
Hammertoe,4
Dentinogenesis imperfecta,4
Color vision defect,4
Proteus syndrome,4
AP2S1-related disorder,4
Mild facial and digital morphological abnormalities,4
"Hyperphenylalaninemia, bh4-deficient, a, due to partial pts deficiency",4
SLC46A1-related disorder,4
UROS-related disorder,4
Syncope,4
"RH-NULL, AMORPH TYPE",4
Orofacial cleft,4
Progressive proximal muscle weakness,4
Coronary heart disease,4
NEFL-related disorder,4
Hereditary sclerosing poikiloderma with tendon and pulmonary involvement,4
Rieger anomaly,4
"Intellectual disability, autosomal recessive 51",4
Disease of glomerular basement membrane,4
"Dyskeratosis congenita, autosomal recessive 2",4
ANG-related disorder,4
Clinodactyly of the 5th finger,4
Combined immunodeficiency due to CTPS1 deficiency,4
Autosomal recessive limb-girdle muscular dystrophy type 2R1,4
GALE-related disorder,3
CHRNB1-related disorder,3
DTDP2,3
DSG1-related disorder,3
VWA1-related disorder,3
ARR3-related disorder,3
"Pulmonary hypertension, primary, 6",3
"Maple syrup urine disease, mild variant",3
TFAP2A-related disorder,3
Complex neurodevelopmental disorder with motor features,3
46 XX gonadal dysgenesis,3
Autosomal dominant COL11A1-related disorders,3
Hurthle cell carcinoma of thyroid,3
PIKFYVE-related disorder,3
Cataract 31 multiple types,3
Immunodeficiency 121 with autoinflammation,3
DISP1-related disorder,3
Duchenne and Becker muscular dystrophy,3
Craniometadiaphyseal osteosclerosis with hip dysplasia,3
ABHD5-related disorder,3
CA2-related disorder,3
Spermatogenic failure 15,3
"Multiple epiphyseal dysplasia, Beighton type",3
LARP7-related disorder,3
Epithelial basement membrane dystrophy,3
Congenital disorder of glycosylation type 1EE with or without immunodeficiency,3
EFEMP1-related disorder,3
Prolonged electroretinal response suppression 2,3
Autosomal recessive KIAA0753-related disorders,3
"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization",3
LOX-related disorder,3
TMPRSS15-related disorder,3
EBF3-related disorder,3
Megacolon,3
"Intellectual disability, autosomal recessive 52",3
Spermatogenic failure 79,3
POU3F4-related disorder,3
Developmental and epileptic encephalopathy 114,3
PAX6-related ocular dysgenesis,3
Neurofibromatosis,3
MID1-related disorder,3
"Ciliary dyskinesia, primary, 48, without situs inversus",3
"Polydactyly, postaxial, type A9",3
FTCD-related disorder,3
Coloboma of optic nerve,3
SLC25A38-related disorder,3
TMEM94-related disorder,3
KDM3B-related disorder,3
Tall stature,3
KSR2-related disorder,3
CA5A-related disorder,3
Dilated cardiomyopathy with left ventricular noncompaction,3
MYT1L-related disorder,3
Intestinal pseudo-obstruction,3
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4",3
